Unnamed: 0,names,urlTail,party,states,jobTitles,newNames,urlRefer,namesTalkPage
0,Chuck Grassley,/wiki/Chuck_Grassley,Republican,Iowa,senator,Chuck_Grassley,https://en.wikipedia.org/w/index.php?title=Chuck_Grassley&action=edit,Chuck_Grassley
1,Mitch McConnell,/wiki/Mitch_McConnell,Republican,Kentucky,senator,Mitch_McConnell,https://en.wikipedia.org/w/index.php?title=Mitch_McConnell&action=edit,Mitch_McConnell
2,Dianne Feinstein,/wiki/Dianne_Feinstein,Democratic,California,senator,Dianne_Feinstein,https://en.wikipedia.org/w/index.php?title=Dianne_Feinstein&action=edit,Dianne_Feinstein
3,Patty Murray,/wiki/Patty_Murray,Democratic,Washington,senator,Patty_Murray,https://en.wikipedia.org/w/index.php?title=Patty_Murray&action=edit,Patty_Murray
4,Ron Wyden,/wiki/Ron_Wyden,Democratic,Oregon,senator,Ron_Wyden,https://en.wikipedia.org/w/index.php?title=Ron_Wyden&action=edit,Ron_Wyden
5,Dick Durbin,/wiki/Dick_Durbin,Democratic,Illinois,senator,Dick_Durbin,https://en.wikipedia.org/w/index.php?title=Dick_Durbin&action=edit,Dick_Durbin
6,Jack Reed,/wiki/Jack_Reed_(Rhode_Island_politician),Democratic,Rhode Island,senator,Jack_Reed,https://en.wikipedia.org/w/index.php?title=Jack_Reed_(Rhode_Island_politician)&action=edit,Jack_Reed_(Rhode_Island_politician)
7,Susan Collins,/wiki/Susan_Collins,Republican,Maine,senator,Susan_Collins,https://en.wikipedia.org/w/index.php?title=Susan_Collins&action=edit,Susan_Collins
8,Chuck Schumer,/wiki/Chuck_Schumer,Democratic,New York,senator,Chuck_Schumer,https://en.wikipedia.org/w/index.php?title=Chuck_Schumer&action=edit,Chuck_Schumer
9,Mike Crapo,/wiki/Mike_Crapo,Republican,Idaho,senator,Mike_Crapo,https://en.wikipedia.org/w/index.php?title=Mike_Crapo&action=edit,Mike_Crapo
10,Tom Carper,/wiki/Tom_Carper,Democratic,Delaware,senator,Tom_Carper,https://en.wikipedia.org/w/index.php?title=Tom_Carper&action=edit,Tom_Carper
11,Debbie Stabenow,/wiki/Debbie_Stabenow,Democratic,Michigan,senator,Debbie_Stabenow,https://en.wikipedia.org/w/index.php?title=Debbie_Stabenow&action=edit,Debbie_Stabenow
12,Maria Cantwell,/wiki/Maria_Cantwell,Democratic,Washington,senator,Maria_Cantwell,https://en.wikipedia.org/w/index.php?title=Maria_Cantwell&action=edit,Maria_Cantwell
13,John Cornyn,/wiki/John_Cornyn,Republican,Texas,senator,John_Cornyn,https://en.wikipedia.org/w/index.php?title=John_Cornyn&action=edit,John_Cornyn
14,Lisa Murkowski,/wiki/Lisa_Murkowski,Republican,Alaska,senator,Lisa_Murkowski,https://en.wikipedia.org/w/index.php?title=Lisa_Murkowski&action=edit,Lisa_Murkowski
15,Lindsey Graham,/wiki/Lindsey_Graham,Republican,South Carolina,senator,Lindsey_Graham,https://en.wikipedia.org/w/index.php?title=Lindsey_Graham&action=edit,Lindsey_Graham
16,John Thune,/wiki/John_Thune,Republican,South Dakota,senator,John_Thune,https://en.wikipedia.org/w/index.php?title=John_Thune&action=edit,John_Thune
17,Bob Menendez,/wiki/Bob_Menendez,Democratic,New Jersey,senator,Bob_Menendez,https://en.wikipedia.org/w/index.php?title=Bob_Menendez&action=edit,Bob_Menendez
