newNames,biasWithoutSum,biasWithoutSum_zscore,partyDummy,genderDummy,jobDummy,age_zscore,monthlyEdit_zscore,pageviews,editors,assessValue,characters,words,unique_references,links_out_count,links_in_count,assessValueDummy,outLink_zscore,inLink_zscore,unique_references_zscore,words_zscore,characters_zscore,editors_zscore,pageviews_zscore,gini_index,gini_zscore,namesTalkPage,wordHuman_zscore,wordHuBot_zscore,letHuman_zscore,letHuBot_zscore,editorCount_zscore,editorCountHu_zscore,letterCount_zscore,letNumCount_zscore,wordNumCount_zscore,wordCount_zscore,editCount_zscore,editCountHu_zscore
Chuck_Grassley,-0.4421768707482993,0.2922968339588532,1,1,1,2.2705859057733133,0.5765900446161909,41643,939,C,35673,5569,183,968.0,1376.0,0,1.4876894171882704,1.471996682328044,1.5917144352693475,1.7026500331748324,1.760029793460513,1.5763805356958474,1.2758698645874031,0.440365013621084,-0.3461717297078108,Chuck_Grassley,-0.3187048953847476,-0.2711897739556833,-0.3067051919683181,-0.2579574677566127,0.9549428171047896,0.9533385692960478,0.2537041276192778,0.2608433028724357,0.2522774522525102,0.2421732957022049,0.2884078993273094,0.278914012052639
Mitch_McConnell,-0.6373626373626373,-0.2865482635638256,1,1,1,1.5606716318994054,2.9282919240639247,49461,1937,B,40528,6312,239,1258.0,2725.0,1,2.5061494099832986,4.1482235735288,2.4332939335594013,2.076332114463171,2.149129929592588,4.312472494627233,1.589071649703333,0.5637548483341621,1.3596918594495655,Mitch_McConnell,0.1042945288204284,0.0656421834007853,0.1285673352613772,0.0915515471572315,2.418913392391242,2.401592451745538,1.6517019316736272,1.6486543640718474,1.5958554454969822,1.6021098913183192,1.166568820629253,0.997998371370228
Dianne_Feinstein,-0.5929203539823009,-0.154749729768833,0,0,1,2.2705859057733133,0.9376621560667632,65884,1942,B,35026,5472,212,1158.0,2025.0,1,2.154956309019496,2.7595217026314467,2.0275323897409825,1.6538651584978892,1.7081764900460017,4.326180370172981,2.2470037188973624,0.5084762206721624,0.595465224358705,Dianne_Feinstein,0.6958851030863914,0.7958791011654144,0.698164739999954,0.7989541172978024,2.04466527540072,2.033781941917096,1.6209532865931635,1.620427868372441,1.5956221044074992,1.5994868328312462,0.6724941869742829,0.6151092969283949
Patty_Murray,-0.8148148148148148,-0.8128024302719628,0,0,1,0.929636721789265,-0.103631948116535,19482,716,C,20727,3287,85,660.0,1188.0,0,0.4060146662197578,1.0990310370013263,0.1189503132617535,0.5549481361358166,0.5621944413225125,0.9650092863554676,0.3880641905078268,0.4228800325887704,-0.5879014683810873,Patty_Murray,-0.1603157821540848,-0.0890003219869706,-0.1749747705906283,-0.106083534413909,0.0963736075382987,0.0912826868856372,-0.021156285583481,-0.0221736921953248,-0.0183982115480433,-0.0167941149306375,-0.0223528243143327,-0.0217939927528982
Ron_Wyden,-0.803030303030303,-0.7778541500183052,0,1,1,1.0085160855530326,-0.1401448582632221,9819,655,B,45406,7235,170,862.0,1123.0,1,1.1154247301666396,0.9700801489894292,1.3963477660234422,2.540542829172641,2.5400733825384707,0.7977732046973368,0.0009487070625426,0.434123448071333,-0.4324613291340333,Ron_Wyden,-0.2017665037703421,-0.1802264049972267,-0.1725815273848408,-0.1481384875485553,0.1404027977724777,0.1257649221820536,-0.0841757858969066,-0.0848435316700282,-0.0898005849299135,-0.0892859131188364,-0.0694906868891885,-0.0740910370669046
Dick_Durbin,-0.6635514018691588,-0.3642139571629323,0,1,1,1.4029129043718704,0.5711807245944596,20645,1333,B,39796,6243,147,800.0,1284.0,1,0.8976850075690818,1.2894815792958203,1.0506990435114558,2.041629471651737,2.0904643683879165,2.656561128700824,0.434655860511642,0.4339493554327808,-0.4348681586264065,Dick_Durbin,-0.030865018289899,0.065161197669742,-0.0228912535052377,0.0739497217334664,0.5146509147629994,0.4820813535783567,0.2759791361841682,0.272825776179999,0.2660445765320212,0.2717423186473913,0.1661986259850906,0.1631134139287675
Jack_Reed,-0.9310344827586208,-1.157464780359758,0,1,1,1.0085160855530326,-0.3970875592954646,8098,435,C,12704,2043,38,481.0,526.0,0,-0.2226209845054491,-0.2142841609044559,-0.5873753370888273,-0.0707053081746722,-0.0808025498592871,0.1946266806844061,-0.0679973497530771,0.3520900027439861,-1.5665731285578268,Jack_Reed_(Rhode_Island_politician),-0.2458297506752674,-0.202415537107196,-0.2797886933484464,-0.2408302072718234,-0.0577285582813278,-0.0696344111643061,-0.1671869795464753,-0.1664647306018819,-0.1607362761328171,-0.1610623317196519,-0.1323411703223296,-0.1301235845461973
Susan_Collins,-0.8514851485148515,-0.9215523829707558,1,0,1,0.77187799426173,1.7098425891689233,15433,1268,C,46607,7392,261,659.0,1100.0,0,0.4025027352101198,0.9244513732313734,2.7639144507447795,2.619503914989962,2.636326577902965,2.478358746606093,0.2258546704343553,0.525620015048909,0.8324780599403169,Susan_Collins,0.663226358143144,0.7789165376390697,0.696679094150182,0.8162759664724466,0.4706217245288204,0.4246109614176626,0.6351192514969108,0.6332024210953333,0.6076559315354785,0.6105937832047293,0.192386327415566,0.172452171841983
Chuck_Schumer,-0.6510638297872341,-0.3271806734098934,0,1,1,0.929636721789265,1.4109776579682622,55734,1770,B,72688,11556,296,1681.0,2512.0,1,3.991696227060185,3.725661432812891,3.289901637176063,4.713732968132145,4.726567700551914,3.854629451399236,1.8403782240231368,0.470112277019937,0.0650839756521605,Chuck_Schumer,0.2667524620912624,0.237807090489932,0.2869319265232515,0.2596176342152173,1.1530741731585952,1.1602319810745465,0.5998547162973691,0.5985585338337173,0.5789549775290405,0.5805478405346205,0.3285623748540385,0.2658397509741374
Mike_Crapo,-0.7777777777777778,-0.702964978046182,1,1,1,0.8507573580254976,-0.2740255288010747,5463,554,Start,10648,1761,51,467.0,580.0,0,-0.2717880186403815,-0.107155730863803,-0.3920086678429219,-0.2125335005344455,-0.2455790441718609,0.5208741186732186,-0.1735597319199325,0.3897482719055215,-1.045947824676594,Mike_Crapo,-0.1425758228974187,-0.0331522857555069,-0.1738400106412385,-0.0705456077047378,-0.1237723436325963,-0.1156107248928613,-0.1905275352181144,-0.1911817152907049,-0.1868704781549396,-0.1856236975531535,-0.1690039523249953,-0.1618753614511298
Tom_Carper,-0.6888888888888889,-0.4393550927043078,0,1,1,1.1662748130805678,-0.2375126186543876,14623,574,B,22010,3514,64,661.0,889.0,1,0.4095265972293959,0.5058569521465999,-0.1966419985970166,0.6691148016169106,0.6650194618492792,0.5757056208562124,0.1934047540946388,0.4711959032145851,0.0800651001022072,Tom_Carper,-0.3126547376911543,-0.2218388653089525,-0.2849509671671734,-0.1899122221516023,-0.0797431533984173,-0.0811284895964449,-0.1531319058050752,-0.1530283170185055,-0.155602772164186,-0.1555777548830447,-0.1253577832742028,-0.1170493234676957
