name,blue,red
Aaron_Bean,1,6
Aaron_Schock,100,34
Abby_Finkenauer,11,10
Abigail_Spanberger,39,8
Adam_Kinzinger,83,9
Adam_Schiff,77,12
Adam_Smith,21,0
Adrian_Smith,11,4
Adriano_Espaillat,33,2
Al_Franken,100,19
Al_Green,16,1
Al_Lawson,12,5
Alan_Grayson,40,16
Alan_Lowenthal,10,2
Alan_Nunnelee,7,2
Albio_Sires,13,1
Alcee_Hastings,30,8
Alex_Mooney,30,11
Alex_Padilla,41,7
Alexandria_Ocasio-Cortez,245,43
Alma_Adams,11,5
Ami_Bera,49,5
Amy_Klobuchar,80,7
Ander_Crenshaw,4,2
Andrea_Salinas,6,1
Andrew_Clyde,21,5
Andrew_Garbarino,13,5
André_Carson,36,6
Andy_Barr,41,11
Andy_Biggs,77,38
Andy_Harris,54,4
Andy_Kim,18,15
Andy_Levin,10,5
Andy_Ogles,6,4
Angie_Craig,25,2
Angus_King,112,11
Ann_Kirkpatrick,36,32
Ann_Wagner,23,8
Anna_Eshoo,30,5
Anna_Paulina_Luna,10,7
Annie_Kuster,16,7
Anthony_Brindisi,7,14
Anthony_Brown,35,5
Anthony_D'Esposito,9,1
Anthony_Gonzalez,17,11
Antonio_Delgado,21,7
Ashley_Hinson,9,10
August_Pfluger,6,0
Austin_Scott,29,4
Ayanna_Pressley,87,4
Barbara_Boxer,62,6
Barbara_Comstock,44,6
Barbara_Lee,62,6
Barbara_Mikulski,35,3
Barry_Loudermilk,25,0
Barry_Moore,12,9
Becca_Balint,23,19
Ben_Cardin,43,11
Ben_Cline,22,1
Ben_McAdams,26,71
Ben_Ray_Luján,19,3
Ben_Sasse,52,34
Bennie_Thompson,26,8
Bernie_Sanders,369,51
Beth_Van_Duyne,24,2
Beto_O'Rourke,183,36
Betty_McCollum,20,2
Bill_Cassidy,33,16
Bill_Flores,17,5
Bill_Foster,21,4
Bill_Hagerty,19,29
Bill_Huizenga,10,0
Bill_Johnson,25,2
Bill_Keating,44,4
Bill_Nelson,79,43
Bill_Pascrell,20,2
Bill_Posey,17,10
Bill_Shuster,14,2
Billy_Long,18,1
Blaine_Luetkemeyer,15,1
Blake_Farenthold,24,6
Blake_Moore,11,7
Bob_Brady,26,1
Bob_Casey_Jr.,71,25
Bob_Corker,92,33
Bob_Dold,30,10
Bob_Gibbs,17,1
Bob_Good,28,7
Bob_Goodlatte,25,3
Bob_Latta,12,0
Bob_Menendez,119,17
Bobby_Rush,57,10
Bobby_Scott,17,3
Bonnie_Watson_Coleman,24,0
Brad_Ashford,21,93
Brad_Finstad,4,1
Brad_Schneider,33,7
Brad_Sherman,62,16
Brad_Wenstrup,17,5
Bradley_Byrne,44,26
Brandon_Williams,3,3
Brenda_Jones,9,9
Brenda_Lawrence,14,3
Brendan_Boyle,27,3
Brett_Guthrie,10,2
Brian_Babin,32,3
Brian_Fitzpatrick,51,11
Brian_Higgins,32,1
Brian_Mast,33,25
Brian_Schatz,37,11
Brittany_Pettersen,7,4
Bruce_Poliquin,53,6
Bruce_Westerman,14,2
Bryan_Steil,15,4
Buddy_Carter,17,4
Burgess_Owens,14,14
Byron_Donalds,18,14
Candice_Miller,29,8
Carlos_A._Giménez,32,6
Carlos_Curbelo,43,11
Carlos_Giménez,32,6
Carol_Miller,18,4
Carol_Shea-Porter,23,8
Carolyn_Bourdeaux,31,3
Carolyn_Maloney,86,7
Catherine_Cortez_Masto,24,25
Cathy_McMorris_Rodgers,63,9
Cedric_Richmond,20,9
Chaka_Fattah,33,8
Charles_Boustany,7,3
Charles_Rangel,123,28
Charlie_Crist,50,40
Charlie_Dent,28,9
Chellie_Pingree,41,1
Cheri_Bustos,25,25
Chip_Roy,113,34
Chris_Collins,55,27
Chris_Coons,60,9
Chris_Deluzio,7,2
Chris_Gibson,18,5
Chris_Jacobs,25,8
Chris_Murphy,74,11
Chris_Pappas,21,10
Chris_Smith,75,12
Chris_Stewart,25,24
Chris_Van_Hollen,42,7
Chrissy_Houlahan,20,8
Chuck_Edwards,4,3
Chuck_Fleischmann,21,5
Chuck_Grassley,106,41
Chuck_Schumer,194,41
Chuy_García,32,13
Cindy_Axne,4,10
Cindy_Hyde-Smith,61,13
Claire_McCaskill,59,16
Claudia_Tenney,32,23
Clay_Higgins,19,26
Cliff_Bentz,14,0
Colin_Allred,17,4
Colleen_Hanabusa,6,11
Collin_Peterson,39,4
Connie_Conway,4,3
Conor_Lamb,49,5
Cori_Bush,47,4
Corrine_Brown,15,14
Cory_Booker,146,17
Cory_Gardner,63,30
Cory_Mills,7,4
Cresent_Hardy,7,14
Curt_Clawson,4,3
Cynthia_Lummis,46,124
Dale_Strong,1,28
Dan_Benishek,16,5
Dan_Bishop,16,4
Dan_Coats,37,6
Dan_Crenshaw,94,20
Dan_Donovan,52,2
Dan_Goldman,34,1
Dan_Kildee,35,2
Dan_Lipinski,49,5
Dan_Meuser,17,14
Dan_Newhouse,20,3
Dan_Sullivan,42,6
Dana_Rohrabacher,111,24
Daniel_Webster,29,24
Danny_Davis,23,3
Danny_K._Davis,23,3
Darin_LaHood,17,5
Darrell_Issa,76,16
Darren_Soto,22,43
Dave_Brat,46,21
Dave_Loebsack,6,3
Dave_Reichert,20,4
Dave_Trott,13,6
David_Cicilline,55,18
David_Jolly,17,21
David_Joyce,39,2
David_Kustoff,13,8
David_McKinley,21,4
David_Perdue,110,13
David_Price,29,2
David_Rouzer,11,5
David_Schweikert,44,20
