namesTalkPage,letterCount,letNumCount,wordNumCount,wordCount,editorCount,editCount,editorCountHu,editCountHu,editorCount_zscore,editorCountHu_zscore,wordHuman,wordHuman_zscore,wordHuBot,wordHuBot_zscore,letHuman,letHuman_zscore,letHuBot,letHuBot_zscore,letterCount_zscore,letNumCount_zscore,wordNumCount_zscore,wordCount_zscore,editCount_zscore,editCountHu_zscore,newNames
Chuck_Grassley,10646,10907,2297,2209,128,307,120,278,0.9549428171047897,0.9533385692960478,8.262589928057555,-0.31870489538474767,7.482084690553746,-0.2711897739556833,39.23381294964029,-0.30670519196831814,35.527687296416936,-0.25795746775661277,0.2537041276192778,0.2608433028724357,0.25227745225251025,0.2421732957022049,0.2884078993273094,0.27891401205263905,Chuck_Grassley
Mitch_McConnell,38198,38588,8055,7912,261,810,246,663,2.418913392391242,2.401592451745538,12.149321266968325,0.10429452882042843,9.944444444444445,0.0656421834007853,58.20211161387632,0.12856733526137723,47.6395061728395,0.09155154715723154,1.6517019316736272,1.6486543640718474,1.5958554454969822,1.6021098913183192,1.166568820629253,0.9979983713702281,Mitch_McConnell
Dianne_Feinstein,37592,38025,8054,7901,227,527,214,458,2.04466527540072,2.0337819419170957,17.58515283842795,0.6958851030863914,15.282732447817837,0.7958791011654144,83.02401746724891,0.698164739999954,72.15370018975332,0.7989541172978024,1.6209532865931635,1.620427868372441,1.5956221044074992,1.5994868328312462,0.6724941869742829,0.6151092969283949,Dianne_Feinstein
Patty_Murray,5229,5262,1137,1123,50,129,45,117,0.09637360753829873,0.0912826868856372,9.717948717948717,-0.16031578215408487,8.813953488372093,-0.08900032198697069,44.97435897435897,-0.17497477059062838,40.7906976744186,-0.10608353441390904,-0.021156285583481035,-0.02217369219532481,-0.018398211548043324,-0.016794114930637517,-0.022352824314332713,-0.021793992752898204,Patty_Murray
Ron_Wyden,3987,4012,831,819,54,102,48,89,0.14040279777247774,0.12576492218205362,9.337078651685394,-0.2017665037703421,8.147058823529411,-0.18022640499722672,45.07865168539326,-0.17258152738484084,39.333333333333336,-0.14813848754855535,-0.08417578589690664,-0.0848435316700282,-0.0898005849299135,-0.08928591311883649,-0.06949068688918854,-0.07409103706690467,Ron_Wyden
Dick_Durbin,11085,11146,2356,2333,88,237,79,216,0.5146509147629994,0.4820813535783567,10.907407407407407,-0.030865018289899047,9.940928270042194,0.06516119766974202,51.601851851851855,-0.02289125350523771,47.029535864978904,0.07394972173346646,0.2759791361841682,0.272825776179999,0.2660445765320212,0.2717423186473913,0.1661986259850906,0.16311341392876755,Dick_Durbin
Jack_Reed_(Rhode_Island_politician),2351,2384,527,518,36,66,31,59,-0.057728558281327835,-0.0696344111643061,8.932203389830509,-0.2458297506752674,7.984848484848484,-0.20241553710719604,40.40677966101695,-0.27978869334844647,36.121212121212125,-0.2408302072718234,-0.1671869795464753,-0.1664647306018819,-0.16073627613281719,-0.16106233171965192,-0.13234117032232964,-0.13012358454619732,Jack_Reed
Susan_Collins,18163,18334,3820,3754,84,252,74,221,0.4706217245288204,0.42461096141766264,17.285067873303166,0.663226358143144,15.158730158730158,0.7789165376390697,82.95927601809954,0.696679094150182,72.75396825396825,0.8162759664724466,0.6351192514969108,0.6332024210953333,0.6076559315354785,0.6105937832047293,0.19238632741556608,0.172452171841983,Susan_Collins
Chuck_Schumer,17468,17643,3697,3628,146,330,138,271,1.1530741731585952,1.1602319810745463,13.642066420664207,0.2667524620912624,11.203030303030303,0.237807090489932,65.10332103321034,0.28693192652325156,53.46363636363636,0.2596176342152173,0.5998547162973691,0.5985585338337173,0.5789549775290405,0.5805478405346205,0.3285623748540385,0.2658397509741374,Chuck_Schumer
Mike_Crapo,1891,1891,415,415,30,45,27,42,-0.12377234363259636,-0.11561072489286134,9.880952380952381,-0.1425758228974187,9.222222222222221,-0.0331522857555069,45.023809523809526,-0.17384001064123855,42.022222222222226,-0.0705456077047378,-0.1905275352181144,-0.1911817152907049,-0.1868704781549396,-0.18562369755315355,-0.1690039523249953,-0.16187536145112985,Mike_Crapo
Tom_Carper,2628,2652,549,541,34,70,30,66,-0.07974315339841734,-0.08112848959644492,8.318181818181818,-0.31265473769115437,7.8428571428571425,-0.22183886530895255,40.18181818181818,-0.2849509671671734,37.885714285714286,-0.18991222215160236,-0.1531319058050752,-0.1530283170185055,-0.155602772164186,-0.15557775488304476,-0.12535778327420286,-0.11704932346769571,Tom_Carper
Debbie_Stabenow,3235,3264,706,696,47,119,43,108,0.06335171486266447,0.06829453002135959,6.537037037037037,-0.5064996812064524,5.932773109243698,-0.4831237335093748,30.22222222222222,-0.5134974794431386,27.428571428571427,-0.4916724892183496,-0.12233252038619492,-0.1223451636116907,-0.11896822111531796,-0.11861647620156174,-0.03981129193464969,-0.038603756996686,Debbie_Stabenow
Maria_Cantwell,10304,10380,2251,2225,69,196,62,179,0.30551226115064906,0.28668202023199696,12.575418994413408,0.15066745188819947,11.48469387755102,0.276336510479,57.98882681564246,0.12367301053619946,52.95918367346939,0.24506071550550046,0.23635093188079828,0.23442169854990075,0.2415437621362814,0.24598865350158378,0.09461890874179102,0.09400660537097329,Maria_Cantwell
John_Cornyn,9178,9217,1898,1879,91,191,82,163,0.5476728074386337,0.5165635888747732,11.644171779141104,0.04931827143178781,9.93717277486911,0.0646474746899889,56.54601226993865,0.0905642143943312,48.2565445026178,0.10935733347267182,0.17921731082369907,0.1761136799026367,0.15917435754869916,0.1634815410900152,0.08588967493163253,0.06412258004868386,John_Cornyn
Lisa_Murkowski,7570,7623,1621,1599,71,172,63,148,0.3275268562677386,0.29817609866413575,10.952702702702704,-0.025935456105525518,9.424418604651162,-0.005493369077582528,51.50675675675676,-0.02507343563458358,44.31976744186046,-0.004245675825888897,0.0976268466497954,0.09619710060449495,0.09453887576184282,0.09671277960088456,0.05271858645303028,0.036106306309037536,Lisa_Murkowski
Lindsey_Graham,22696,22856,4813,4751,172,317,164,288,1.439263909680759,1.4590780203101554,16.711805555555557,0.6008372683961487,15.182965299684543,0.7822317193267078,79.36111111111111,0.6141106803890138,72.10094637223975,0.7974318079749635,0.8651252055393892,0.8599168323790203,0.8393636333923317,0.8483382660785266,0.3058663669476264,0.29759152787906995,Lindsey_Graham
John_Thune,7650,7777,1678,1624,57,124,48,110,0.173424690448112,0.12576492218205362,15.254545454545454,0.4422412323199331,13.53225806451613,0.5564276108223654,70.7,0.41536097759892615,62.71774193548387,0.5266620274088244,0.10168607372312394,0.10391802482777841,0.10783931786238726,0.10267427616241409,-0.0310820581244912,-0.034868253831399826,John_Thune
Bob_Menendez,12434,12517,2557,2526,87,256,82,242,0.5036436172044546,0.5165635888747732,10.566115702479339,-0.06800836113567268,9.98828125,0.07163872269452655,51.72314049586777,-0.020107998373104573,48.89453125,0.12776762526127408,0.34442785270817067,0.34156205611585366,0.3129461355181516,0.31776507210239924,0.19936971446369287,0.21167495507748785,Bob_Menendez
Ben_Cardin,3036,3057,648,639,38,64,33,58,-0.035713963164238326,-0.04664625430002849,11.172413793103448,-0.00202393338189636,10.125,0.09034080068985828,52.706896551724135,0.0024666137304825784,47.765625,0.09519094000918064,-0.13242984773109967,-0.1327232890287016,-0.13250200430534564,-0.13220868836184904,-0.13583286384639304,-0.13199133612884043,Ben_Cardin
Bernie_Sanders,152947,154520,32972,32384,710,4733,661,4308,7.361189996177837,7.171635001083143,7.653667595171774,-0.38497492378052073,6.966406084935559,-0.3417306580904142,35.86815227483751,-0.3839382455832513,32.64736953306571,-0.3410743830918825,7.474105024640838,7.461006228056898,7.410015372150769,7.437699645468338,8.015525668079603,7.805952890104286,Bernie_Sanders
Sherrod_Brown,6559,6600,1431,1415,69,124,64,116,0.30551226115064906,0.30967017709627453,12.336206896551724,0.12463360214782582,11.540322580645162,0.283946091052592,56.89655172413793,0.09860817220119143,53.225806451612904,0.252754610658105,0.04632836451060596,0.0449081039783977,0.05020406876002802,0.05283616490802729,-0.0310820581244912,-0.02366174433554129,Sherrod_Brown
Bob_Casey_Jr.,9075,9107,1929,1914,72,148,65,132,0.3385341538262833,0.3211642555284134,14.613636363636363,0.3724900319453831,13.033783783783784,0.4882401465797269,68.99242424242425,0.37617660853173357,61.53378378378378,0.4924967173491236,0.17399105596678857,0.17059873402886283,0.16640793132267948,0.17182763627615652,0.010818264164269538,0.0062222809867481235,Bob_Casey_Jr.
Amy_Klobuchar,10981,11078,2280,2250,93,263,86,239,0.5696874025557231,0.5625399026033283,9.539748953974895,-0.17970955830727514,8.669201520912548,-0.1088012826116555,46.35146443514645,-0.14337382499243648,42.12167300380228,-0.06767577080764553,0.27070214098884104,0.2694165369125751,0.24831065373129524,0.2519501500631133,0.21159064179791476,0.2060717003295586,Amy_Klobuchar
Sheldon_Whitehouse,4508,4528,954,946,36,52,30,43,-0.057728558281327835,-0.08112848959644492,22.186046511627907,1.1966079997551955,18.346153846153847,1.2149316884970587,105.30232558139535,1.2093932717148153,87.07692307692308,1.2295914133019359,-0.057740069581854514,-0.058973421934870644,-0.06109963092347548,-0.05900151058626653,-0.15678302499077343,-0.16000760986848675,Sheldon_Whitehouse
Jon_Tester,4590,4626,1010,997,41,108,37,101,-0.0026920704886040604,-0.0006699405714732587,10.0,-0.1296196728785054,9.351851851851851,-0.015419945137710871,45.801980198019805,-0.15598304191804035,42.833333333333336,-0.04713949105763587,-0.053579361831692755,-0.0540601065200539,-0.048032529912414273,-0.046840057600746304,-0.05901560631699836,-0.05167801807518762,Jon_Tester
John_Barrasso,1052,1056,238,237,26,43,24,38,-0.16780153386677538,-0.15009296018927776,6.2631578947368425,-0.5363064029458706,5.534883720930233,-0.5375519547573986,27.789473684210527,-0.5693226550689963,24.558139534883722,-0.5745041294349176,-0.2330986791496475,-0.23304516805980677,-0.22817185099347234,-0.22806955307124374,-0.1724956458490587,-0.1693463677817022,John_Barrasso
Roger_Wicker,953,961,211,208,31,62,28,59,-0.1127650460740516,-0.10411664646072254,3.5762711864406778,-0.82872474406855,3.403225806451613,-0.8291464330271702,16.28813559322034,-0.8332480911877074,15.5,-0.8358935588914832,-0.23812197265289156,-0.23780807585988423,-0.2344720604095197,-0.234984889082618,-0.13932455737045643,-0.13012358454619732,Roger_Wicker
Jeanne_Shaheen,6332,6370,1344,1329,33,77,27,64,-0.0907504509569621,-0.11561072489286134,21.0,1.0675285888690909,17.454545454545453,1.0929664885434864,99.53125,1.0769622773692973,82.72727272727273,1.1040741789016326,0.03481030769003623,0.03337685351505228,0.029903393974986495,0.03232861673636574,-0.11313685593998098,-0.12078482663298189,Jeanne_Shaheen
Mark_Warner,8600,8637,1854,1835,80,159,70,131,0.4265925342946414,0.37863464768910743,14.15267175572519,0.3223224883919265,11.660377358490566,0.30036866527139494,65.93129770992367,0.30593181190779417,54.320754716981135,0.28435137523286624,0.14988939521890035,0.14703487438637433,0.14890734961143678,0.15298930714172324,0.03002257854661821,0.004354529404105035,Mark_Warner
Jim_Risch,1004,1015,221,217,22,39,19,36,-0.2118307241009544,-0.2075633523499718,6.138888888888889,-0.549830805158596,5.666666666666667,-0.5195250569864831,28.194444444444443,-0.5600296420591631,26.025641025641026,-0.5321566500305129,-0.2355342153936446,-0.23510073879457705,-0.23213864951468735,-0.23283875032046736,-0.17947903289718548,-0.17308187094698838,Jim_Risch
Jeff_Merkley,6324,6394,1361,1330,34,115,28,103,-0.07974315339841734,-0.10411664646072254,13.21359223300971,0.22012090491359917,11.834782608695653,0.3242259678881237,62.077669902912625,0.21750119700383572,55.6,0.32126637233305133,0.03440438498270337,0.03458011443296658,0.033870192496201504,0.03256707659882692,-0.04679467898277648,-0.047942514909901444,Jeff_Merkley
Michael_Bennet,5554,5584,1143,1129,46,98,42,89,0.05234441730411971,0.056800451589220785,12.842696629213483,0.1797557206068285,11.66326530612245,0.30076371439127003,62.741573033707866,0.23273602637320923,56.97959183673469,0.3610770554979851,-0.004665675598083836,-0.006029941546641218,-0.016998165011143908,-0.015363355755870433,-0.07647407393731534,-0.07409103706690467,Michael_Bennet
Kirsten_Gillibrand,21432,21598,4566,4499,146,496,131,449,1.1530741731585952,1.0797734320495747,10.169265033407573,-0.11119827828591222,9.205645161290322,-0.03541990074234483,48.102449888641424,-0.10319331766405879,43.54435483870968,-0.02662164576435768,0.8009894177807984,0.7968459059316788,0.7817283842899724,0.788246380738309,0.6183729373513003,0.5982995326846071,Kirsten_Gillibrand
Joe_Manchin,14431,14531,3129,3091,99,208,91,164,0.6357311879069917,0.6200102947640224,19.079268292682926,0.8584921684419884,15.04326923076923,0.7631223669043412,88.60365853658537,0.8262028161751163,69.86057692307692,0.7327817890794321,0.44575630852613435,0.4425357014774957,0.44641723870256245,0.4524948943929664,0.11556906988617138,0.06599033163132695,Joe_Manchin
Chris_Coons,4659,4690,1013,1001,60,190,51,171,0.20644658312374628,0.16024715747847004,5.923976608187134,-0.5732200654558975,5.331578947368421,-0.5653624908541393,27.426900584795323,-0.5776427533593885,24.68421052631579,-0.570866116971702,-0.05007827848094689,-0.05085141073894908,-0.047332506643964566,-0.04588621815090158,0.08414382816960084,0.07906459270982857,Chris_Coons
Jerry_Moran,2162,2166,453,450,26,43,22,38,-0.16780153386677538,-0.1730811170535554,11.921052631578947,0.07945167426880205,10.534883720930232,0.14640975478616167,57.0,0.10098203784244356,50.372093023255815,0.17040541279046859,-0.17677690350721398,-0.17739435060627018,-0.17800351675457662,-0.17727760236701223,-0.1724956458490587,-0.1693463677817022,Jerry_Moran
John_Boozman,2217,2221,459,456,25,41,21,34,-0.17880883142532014,-0.18457519548569418,13.5,0.251291137677548,11.195121951219512,0.23672528852509594,65.32352941176471,0.29198512919299013,54.170731707317074,0.2800221828252612,-0.1739861848943006,-0.1746368776693832,-0.17660347021767722,-0.17584684319224514,-0.17598733937312208,-0.17681737411227455,John_Boozman
John_Hoeven,4584,4643,1110,1087,33,65,28,60,-0.0907504509569621,-0.10411664646072254,18.5,0.79544943847191,17.076923076923077,1.0413106391513856,77.38333333333334,0.5687258861662613,71.43076923076923,0.7780926026150562,-0.053883803862192395,-0.05320779670319793,-0.02469842096409069,-0.02537866997924003,-0.13408701708436135,-0.12825583296355425,John_Hoeven
Marco_Rubio,58779,59156,12573,12441,239,1535,220,1406,2.1767528461032573,2.1027464125099287,8.942389758179232,-0.2447211512968861,8.190879478827362,-0.17423207493504556,42.07396870554765,-0.24153109304237455,38.53811074918567,-0.1710861112587925,2.695988836625811,2.679848970724407,2.6500904877822418,2.682094608405007,2.432307723102234,2.385737797274043,Marco_Rubio
